Reagent,Molecular Weight (g/mol),
4-(2-Hydroxyethyl)piperazine-1-propanesulfonic acid,252.33,
Ethanolamine,61.08,
Formic acid,46.03,
HCOOH,46.03,
Glycine,75.07,
Gly,75.07,
Glycylglycine,132.12,
HEPES,238.3,
4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid,238.3,
HEPPSO,268.32,
N-(2-Hydroxyethyl)piperazine-N'-(2-hydroxypropanesulfonic acid),268.32,
Histidine,155.15,
His,155.15,
Imidazole,68.08,
Lactic acid,90.08,
Lithium acetate,65.99,
Lithium borate,49.75,
Lithium citrate,209.92,
Lithium lactate,96.01,
Magnesium acetate,142.4,
Magnesium carbonate,84.31,
MgCO3,84.31,
Magnesium chloride,95.21,
MgCl2,95.21,
Magnesium citrate,214.41,
Magnesium formate,114.35,
Magnesium phosphate,262.85,
Mg3(PO4)2,262.85,
Magnesium sulfate,120.37,
MgSO4,120.37,
Malic acid,134.09,
Maleic acid,116.07,
MES,195.23,
2-(N-morpholino)ethanesulfonic acid,195.23,
MOPS,209.26,
3-(N-morpholino)propanesulfonic acid,209.26,
MOPSO,225.28,
3-(N-Morpholino)-2-hydroxypropanesulfonic acid,225.28,
Oxalic acid,90.03,
PIPES,302.37,
Potassium acetate,98.14,
Potassium bicarbonate,100.12,
KHCO3,100.12,
Potassium borate,123.92,
Potassium carbonate,138.21,
K2CO3,138.21,
Potassium chloride,74.55,
KCl,74.55,
Potassium citrate,306.39,
Potassium formate,84.12,
Potassium hydroxide,56.11,
KOH,56.11,
Potassium lactate,128.17,
Potassium phosphate dibasic,174.18,
K2HPO4,174.18,
Potassium phosphate monobasic,136.09,
KH2PO4,136.09,
Potassium sodium tartrate,210.16,
Potassium sulfate,174.26,
K2SO4,174.26,
Propionic acid,74.08,
Pyruvic acid,88.06,
Sodium acetate,82.03,
CH3COONa,82.03,
NaC2H3O2,82.03,
Sodium acetate trihydrate,136.08,
Sodium antranilate,159.13,
Sodium arsenate,185.9,
Sodium ascorbate,198.11,
Sodium benzoate,144.1,
Sodium bicarbonate,84.01,
NaHCO3,84.01,
Sodium bisulfite,104.06,
Sodium borate,201.22,
Sodium cacodylate,159.98,
Sodium carbonate,105.99,
Na2CO3,105.99,
Sodium chloride,58.44,
NaCl,58.44,
Sodium citrate dihydrate,294.1,
Sodium deoxycholate,414.55,
Sodium dihydrogen phosphate,119.98,
NaH2PO4,119.98,
Sodium dithionite,174.11,
Sodium formate,68.01,
Sodium gluconate,218.14,
Sodium hydrogen sulfide,56.06,
Sodium hydroxide,40,
NaOH,40,
Sodium lactate,112.06,
Sodium lauryl sulfate,288.38,
SDS,288.38,
Sodium metabisulfite,190.11,
Sodium molybdate,205.92,
Sodium nitrate,84.99,
NaNO3,84.99,
Sodium nitrite,69,
NaNO2,69,
Sodium oxalate,134,
Sodium perchlorate,122.44,
Sodium phosphate dibasic,141.96,
Na2HPO4,141.96,
Sodium phosphate monobasic,119.98,
NaH2PO4,119.98,
Sodium phosphate tribasic,163.94,
Na3PO4,163.94,
Sodium pyrophosphate,265.9,
Sodium salicylate,160.1,
Sodium selenate,188.94,
Sodium selenite,172.94,
Sodium stannate,212.69,
Sodium succinate,162.05,
Sodium sulfate,142.04,
Na2SO4,142.04,
Sodium sulfide,78.04,
Sodium sulfite,126.04,
Sodium tartrate,194.05,
Sodium tetraborate,201.22,
Borax,201.22,
Sodium thiocyanate,81.07,
Sodium thiosulfate,158.11,
Succinic acid,118.09,
Sulfuric acid,98.08,
H2SO4,98.08,
TAPS,243.28,
N-Tris(hydroxymethyl)methyl-3-aminopropanesulfonic acid,243.28,
TAPSO,259.3,
3-[N-Tris(hydroxymethyl)methylamino]-2-hydroxypropanesulfonic acid,259.3,
Tartaric acid,150.09,
Taurine,125.15,
TES,229.24,
N-Tris(hydroxymethyl)methyl-2-aminoethanesulfonic acid,229.24,
Tricine,179.17,
N-Tris(hydroxymethyl)methylglycine,179.17,
Triethanolamine,149.19,
TEA,149.19,
Tris,121.14,
Tris(hydroxymethyl)aminomethane,121.14,
Tris hydrochloride,157.6,
Urea,60.06,
CH4N2O,60.06,
Valine,117.15,
Val,117.15,
Zinc acetate,183.48,
Zinc carbonate,125.39,
Zinc chloride,136.3,
ZnCl2,136.3,
Zinc citrate,574.51,
Zinc lactate,241.53,
Zinc sulfate,161.47,
ZnSO4,161.47,
Ammonium Sulfamate,114.12,
Boric Anhydride,69.62,
CDTA,346.33,
Cyclamic Acid,179.24,
Diethanolamine,105.14,
EDDS,292.24,
Ferric Chloride,162.2,
FeCl3,162.2,
Ferrous Sulfate,151.91,
FeSO4,151.91,
Gluconic Acid,196.16,
Glutamic Acid,147.13,
Guanidine Hydrochloride,95.53,
GdnHCl,95.53,
Hydrazine,32.05,
Hydroxylamine Hydrochloride,69.49,
Iminodiacetic Acid,133.1,
Isopropanolamine,75.11,
Malonic Acid,104.06,
Mercaptoacetic Acid,92.12,
Methylamine Hydrochloride,67.52,
Molybdate,160,
Monoethanolamine,61.08,
Nitrilotriacetic Acid,191.14,
NTA,191.14,
N-Methyl-D-glucamine,195.21,
Meglumine,195.21,
Phenol,94.11,
Phosphoric Acid,98,
H3PO4,98,
Piperazine,86.14,
Pyridine,79.1,
Salicylic Acid,138.12,
Sebacic Acid,202.25,
Semicarbazide Hydrochloride,111.53,
Serine,105.09,
Ser,105.09,
Sulfamic Acid,97.09,
Sulfanilic Acid,173.19,
Thiourea,76.12,
Trichloroacetic Acid,163.38,
TCA,163.38,
Triethylamine,101.19,
Trimethylamine Hydrochloride,95.57,
Tryptophan,204.23,
Trp,204.23,
Tyrosine,181.19,
Tyr,181.19,
ADA Disodium Salt,234.12,
ACES Lithium Salt,188.11,
ACES Sodium Salt,204.15,
BES Sodium Salt,235.23,
BICINE Sodium Salt,185.15,
Bis-Tris Hydrochloride,245.7,
CHES Sodium Salt,229.27,
DIPSO Sodium Salt,283.28,
EDTA Calcium Disodium Salt,374.27,
EDTA Diammonium Salt,324.29,
EDTA Dipotassium Salt,370.44,
EDTA Disodium Dihydrogen,336.21,
EDTA Magnesium Disodium Salt,358.5,
EDTA Tetrasodium Salt,380.17,
EPPS Sodium Salt,274.31,
HEPPS Sodium Salt,274.31,
HEPES Sodium Salt,260.28,
HEPPSO Sodium Salt,290.3,
MES Hydrate,213.25,
MES Monosodium Salt,217.22,
MOPS Sodium Salt,231.24,
MOPSO Sodium Salt,247.26,
PIPES Dipotassium Salt,378.55,
PIPES Disodium Salt,346.32,
PIPES Sesquisodium Salt,335.34,
POPSO,362.4,
POPSO Dipotassium Salt,438.58,
POPSO Disodium Salt,406.36,
TAPS Sodium Salt,265.26,
TAPSO Sodium Salt,281.28,
TES Sodium Salt,251.23,
Tricine Sodium Salt,201.15,
Tris Acetate,181.19,
Amidosulfobetaine-14,434.68,
ASB-14,434.68,
Amidosulfobetaine-16,462.74,
ASB-16,462.74,
ASB-C8-Ph,440.6,
CHAPS,614.88,
CHAPSO,630.88,
SB3-10,307.5,
SB3-12,335.54,
SB3-16,391.65,
SB3-8,279.44,
SB3-14,363.59,
3-(1-Pyridino)-1-propane sulfonate,201.24,
Sodium Borohydride,37.83,
NaBH4,37.83,
Sodium Cyanide,49.01,
NaCN,49.01,
Sodium Fluoride,41.99,
NaF,41.99,
Sodium Iodide,149.89,
NaI,149.89,
Sodium Periodate,213.89,
NaIO4,213.89,
Sodium Persulfate,238.1,
Na2S2O8,238.1,
Sodium Tungstate,293.82,
Na2WO4,293.82,
Potassium Biphthalate,204.22,
KHP,204.22,
Potassium Bisulfate,136.17,
KHSO4,136.17,
Potassium Bromide,119,
KBr,119,
Potassium Chromate,194.19,
K2CrO4,194.19,
Potassium Cyanide,65.12,
KCN,65.12,
Potassium Dichromate,294.18,
K2Cr2O7,294.18,
Potassium Ferricyanide,329.24,
K3[Fe(CN)6],329.24,
Potassium Ferrocyanide,368.35,
K4[Fe(CN)6],368.35,
Potassium Iodate,214,
KIO3,214,
Potassium Iodide,166,
KI,166,
Potassium Nitrate,101.1,
KNO3,101.1,
Potassium Nitrite,85.1,
KNO2,85.1,
Potassium Perchlorate,138.55,
KClO4,138.55,
Potassium Permanganate,158.03,
KMnO4,158.03,
Potassium Persulfate,270.32,
K2S2O8,270.32,
Potassium Pyrophosphate,330.34,
K4P2O7,330.34,
Potassium Thiocyanate,97.18,
KSCN,97.18,
